iso,kurz,vollform,gender
724,Spanien,Das Königreich Spanien,n
144,Sri Lanka,Demokratische Republik Sri Lanka,f
659,St. Kitts und Nevis,Föderation St. Kitts und Nevis,f
662,St. Lucia,St. Lucia,n
670,St. Vincent und die Grenadinen,St. Vincent und die Grenadinen,n
710,Südafrika,Republik Südafrika,f
729,Sudan,Republik Sudan,f
728,Südsudan,Republik Südsudan,f
740,Suriname,Republik Suriname,f
760,Syrien,Arabische Republik Syrien,f
762,Tadschikistan,Republik Tadschikistan,f
158,Taiwan,Republik China,f
834,Tansania,Vereinigte Republik Tansania,f
764,Thailand,Das Königreich Thailand,n
626,Timor-Leste,Demokratische Republik Timor-Leste,n
768,Togo,Republik Togo,f
776,Tonga,Das Königreich Tonga,n
780,Trinidad und Tobago,Republik Trinidad und Tobago,f
148,Tschad,Republik Tschad,f
203,Tschechische Republik,Tschechische Republik,f
788,Tunesien,Tunesische Republik,f
792,Türkei,Republik Türkei,f
795,Turkmenistan,Turkmenistan,n
798,Tuvalu,Tuvalu,n
800,Uganda,Republik Uganda,f
804,Ukraine,Ukraine,f
348,Ungarn,Republik Ungarn,f
858,Uruguay,Republik Östlich des Uruguay,f
860,Usbekistan,Republik Usbekistan,f
548,Vanuatu,Republik Vanuatu,f
336,Vatikanstadt,Staat Vatikanstadt,m
862,Venezuela,Bolivarische Republik Venezuela,f
784,Vereinigte Arabische Emirate,Vereinigten Arabischen Emirate,f
840,Vereinigte Staaten,Vereinigten Staaten von Amerika,f
704,Vietnam,Sozialistische Republik Vietnam,n
140,Zentralafrikanische Republik,Zentralafrikanische Republik,f
196,Zypern,Republik Zypern,f
